Freq.	V(vo)
1.08072540203936e+01	(-2.59214800094269e+00dB,-3.17709695713255e+01°)
1.08147476348363e+01	(-2.59471188023582e+00dB,-3.17828236138741e+01°)
1.08222464452573e+01	(-2.59727742465966e+00dB,-3.17946733715408e+01°)
1.08297504552594e+01	(-2.59984463381964e+00dB,-3.18065188327553e+01°)
1.08372596684479e+01	(-2.60241350731845e+00dB,-3.18183599859477e+01°)
1.08447740884308e+01	(-2.60498404475635e+00dB,-3.18301968195472e+01°)
1.08522937188182e+01	(-2.60755624573114e+00dB,-3.18420293219826e+01°)
1.08598185632231e+01	(-2.61013010983788e+00dB,-3.18538574816827e+01°)
1.08673486252607e+01	(-2.61270563666925e+00dB,-3.18656812870757e+01°)
1.08748839085490e+01	(-2.61528282581524e+00dB,-3.18775007265899e+01°)
1.08824244167082e+01	(-2.61786167686345e+00dB,-3.18893157886528e+01°)
1.08899701533612e+01	(-2.62044218939888e+00dB,-3.19011264616918e+01°)
1.08975211221334e+01	(-2.62302436300397e+00dB,-3.19129327341341e+01°)
1.09050773266527e+01	(-2.62560819725846e+00dB,-3.19247345944076e+01°)
1.09126387705495e+01	(-2.62819369173984e+00dB,-3.19365320309386e+01°)
1.09202054574567e+01	(-2.63078084602282e+00dB,-3.19483250321543e+01°)
1.09277773910097e+01	(-2.63336965967971e+00dB,-3.19601135864812e+01°)
1.09353545748465e+01	(-2.63596013228008e+00dB,-3.19718976823464e+01°)
1.09429370126075e+01	(-2.63855226339112e+00dB,-3.19836773081763e+01°)
1.09505247079359e+01	(-2.64114605257742e+00dB,-3.19954524523977e+01°)
1.09581176644771e+01	(-2.64374149940099e+00dB,-3.20072231034372e+01°)
1.09657158858791e+01	(-2.64633860342128e+00dB,-3.20189892497217e+01°)
1.09733193757926e+01	(-2.64893736419525e+00dB,-3.20307508796777e+01°)
1.09809281378707e+01	(-2.65153778127725e+00dB,-3.20425079817322e+01°)
1.09885421757690e+01	(-2.65413985421906e+00dB,-3.20542605443124e+01°)
1.09961614931457e+01	(-2.65674358256992e+00dB,-3.20660085558454e+01°)
1.10037860936615e+01	(-2.65934896587653e+00dB,-3.20777520047585e+01°)
1.10114159809798e+01	(-2.66195600368309e+00dB,-3.20894908794790e+01°)
1.10190511587663e+01	(-2.66456469553104e+00dB,-3.21012251684354e+01°)
1.10266916306893e+01	(-2.66717504095952e+00dB,-3.21129548600551e+01°)
1.10343374004198e+01	(-2.66978703950496e+00dB,-3.21246799427665e+01°)
1.10419884716311e+01	(-2.67240069070119e+00dB,-3.21364004049987e+01°)
1.10496448479993e+01	(-2.67501599407955e+00dB,-3.21481162351806e+01°)
1.10573065332029e+01	(-2.67763294916891e+00dB,-3.21598274217412e+01°)
1.10649735309229e+01	(-2.68025155549538e+00dB,-3.21715339531106e+01°)
1.10726458448430e+01	(-2.68287181258261e+00dB,-3.21832358177192e+01°)
1.10803234786494e+01	(-2.68549371995170e+00dB,-3.21949330039975e+01°)
1.10880064360309e+01	(-2.68811727712118e+00dB,-3.22066255003765e+01°)
1.10956947206786e+01	(-2.69074248360703e+00dB,-3.22183132952881e+01°)
1.11033883362866e+01	(-2.69336933892259e+00dB,-3.22299963771644e+01°)
1.11110872865511e+01	(-2.69599784257870e+00dB,-3.22416747344382e+01°)
1.11187915751713e+01	(-2.69862799408357e+00dB,-3.22533483555432e+01°)
1.11265012058485e+01	(-2.70125979294301e+00dB,-3.22650172289128e+01°)
1.11342161822871e+01	(-2.70389323866001e+00dB,-3.22766813429822e+01°)
1.11419365081935e+01	(-2.70652833073521e+00dB,-3.22883406861864e+01°)
1.11496621872772e+01	(-2.70916506866656e+00dB,-3.22999952469617e+01°)
1.11573932232498e+01	(-2.71180345194953e+00dB,-3.23116450137445e+01°)
1.11651296198259e+01	(-2.71444348007687e+00dB,-3.23232899749729e+01°)
1.11728713807224e+01	(-2.71708515253891e+00dB,-3.23349301190849e+01°)
1.11806185096588e+01	(-2.71972846882339e+00dB,-3.23465654345196e+01°)
1.11883710103573e+01	(-2.72237342841542e+00dB,-3.23581959097171e+01°)
1.11961288865426e+01	(-2.72502003079760e+00dB,-3.23698215331181e+01°)
1.12038921419420e+01	(-2.72766827544983e+00dB,-3.23814422931648e+01°)
1.12116607802853e+01	(-2.73031816184968e+00dB,-3.23930581782993e+01°)
1.12194348053050e+01	(-2.73296968947190e+00dB,-3.24046691769656e+01°)
1.12272142207363e+01	(-2.73562285778876e+00dB,-3.24162752776086e+01°)
1.12349990303167e+01	(-2.73827766627006e+00dB,-3.24278764686734e+01°)
1.12427892377864e+01	(-2.74093411438282e+00dB,-3.24394727386071e+01°)
1.12505848468883e+01	(-2.74359220159167e+00dB,-3.24510640758573e+01°)
1.12583858613678e+01	(-2.74625192735858e+00dB,-3.24626504688729e+01°)
1.12661922849730e+01	(-2.74891329114299e+00dB,-3.24742319061038e+01°)
1.12740041214544e+01	(-2.75157629240167e+00dB,-3.24858083760013e+01°)
1.12818213745653e+01	(-2.75424093058893e+00dB,-3.24973798670176e+01°)
1.12896440480615e+01	(-2.75690720515645e+00dB,-3.25089463676062e+01°)
1.12974721457015e+01	(-2.75957511555328e+00dB,-3.25205078662222e+01°)
1.13053056712461e+01	(-2.76224466122607e+00dB,-3.25320643513210e+01°)
1.13131446284592e+01	(-2.76491584161864e+00dB,-3.25436158113606e+01°)
1.13209890211070e+01	(-2.76758865617252e+00dB,-3.25551622347989e+01°)
1.13288388529582e+01	(-2.77026310432636e+00dB,-3.25667036100966e+01°)
1.13366941277844e+01	(-2.77293918551645e+00dB,-3.25782399257149e+01°)
1.13445548493598e+01	(-2.77561689917647e+00dB,-3.25897711701162e+01°)
